Id,Serie,Genres
1,"Rent-a-Girlfriend","Comedy, Romance, Shonen"
2,"Solo Leveling","Action, Adventure, Fantasy"
3,"DON'TOY WITH ME, MISS NAGATORO","Comedy, Romance"
4,"LOVE of KILL","Drama, Thriller"
5,"SAKUGAN","Adventure, Science Fiction"
6,"The Strongest Sage with the Weakest Crest","Action, Fantasy"
7,"To Your Eternity","Drama, Fantasy, Supernatural"
8,"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat","Action, Fantasy"
9,"Battle Game in 5 Seconds","Action, Drama, Supernatural, Thriller"
10,"I've Been Killing Slimes For 300 Years And Maxed Out My Level","Fantasy"
11,"Miss Kobayashi's Dragon Maid","Comedy, Fantasy, Romance, Seinen"
12,"Recovery of an MMO Junkie","Drama, Romance, Seinen"
13,"Mob Psycho 100","Action, Comedy, Fantasy, Supernatural"
14,"That Time I Get Reincarnated as a Slime","Action, Adventure, Fantasy"
15,"Gods' Games We Play","Fantasy"
16,"Bye Bye, Earth","Fantasy"
17,"Alya Sometimes Hides Her Feelings in Russian","Comedy, Drama"
18,"Tokyo Revengers","Action, Drama"
19,"Shikimori's Not Just a Cutie","Drama, Romance"
20,"DEAD MOUNT DEATHPLAY","Action, Fantasy"
21,"Masamune-kun's Revenge R","Comedy, Drama, Romance"
22,"Suzaka gegen Ittoki","Action, Adventure, Fantasy"
23,"Reign of the Seven SPELLBLADES","Action, Drama, Fantasy"
24,"The Ancient Magus' Bride","Action, Adventure, Drama, Fantasy, Romance, Supernatural"
25,"Sacrificial Princess and the King of Beasts","Fantasy, Romance"
26,"Yamada-kun and the Seven Witches","Comedy, Drama, Fantasy, Romance, Shonen, Supernatural"
27,"TRIGUN STAMPEDE","Action, Adventure, Drama, Science Fiction"
28,"SHY","Drama, Science Fiction"
29,"Kaguya-sama: Love Is War -Ultra Romantic-","Comedy, Romance, Seinen"
30,"TONIKAWA: Over The Moon For You","Comedy, Romance"
31,"The Iceblade Sorcerer Shall Rule the World","Action, Drama, Fantasy"
32,"Reborn as a Vending Machine, I Now Wander the Dungeon","Comedy, Fantasy"
33,"My Unique Skill Makes Me OP even at Level 1","Comedy, Fantasy"
34,"The Iceblade Sorcerer Shall Rule the World","Action, Drama, Fantasy"
35,"Metallic Rouge","Action, Drama, Science Fiction"
36,"The Great Cleric","Comedy, Fantasy"
37,"The Rising of the Shield Hero","Action, Adventure, Drama, Fantasy, Seinen"
38,"Akashic Records of the Bastard Magic Instructor","Action, Adventure, Fantasy"
39,"Death March to the Parallel World Rhapsody","Adventure, Fantasy"
40,"The Dawn of the Witch","Adventure, Fantasy"
41,"Why Raeliana Ended Up at the Duke's Mansion","Drama, Thriller"
42,"Tomo-chan Is a Girl!","Comedy, Romance"
43,"SPY x FAMILY","Comedy, Drama, Shonen"
44,"Uzaki-chan Wants to Hang Out!","Comedy"
45,"More than a Married Couple, but Not Lovers.","Drama, Romance"
46,"TONIKAWA: Over The Moon For You","Comedy, Romance"
47,"Skeleton Knight in Another World","Action, Fantasy"
48,"The Legendary Hero is Dead!","Comedy, Fantasy"
49,"I'm in Love with the Villainess","Comedy, Romance"
50,"In Another World With My Smartphone","Action, Adventure, Fantasy"
51,"Classroom of the Elite","Drama, Seinen, Thriller"
52,"Sweet Reincarnation","Adventure, Fantasy"
53,"BLUE LOCK","Drama, Sport"
54,"HAIKYUâ€¼","Shonen, Sport"
55,"Frieren Beyond Journey's End","Adventure, Drama, Fantasy"
56,"The 100 Girlfriends Who Really, REALLY Love You","Comedy, Romance"
57,"Lycoris Recoil","Action"
58,"Chainsaw Man","Action, Shonen, Supernatural"
59,"ZOM 100: BUCKET LIST OF THE DEAD","Comedy, Thriller"
60,"Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs","Action, Science Fiction"
61,"Hell's Paradise","Action, Drama, Fantasy, Shonen"
62,"Schwarzes Marken","Action, Drama, Science Fiction"
63,"Parallel World Pharmacy","Fantasy"
64,"86 EIGHTY-SIX","Action, Drama, Science Fiction"
65,"I Got a Cheat Skill in Another World","Fantasy"
66,"Shangri-La Frontier","Action, Adventure, Science Fiction"
67,"Dr. STONE","Action, Adventure, Comedy, Drama, Science Fiction, Shonen"
68,"The Case Study of Vanitas","Drama, Fantasy"
69,"A Couple of Cuckoos","Comedy, Romance"
70,"The Apothecary Diaries","Drama, Shojo"
71,"DARLING in the FRANXX","Action, Drama, Romance, Science Fiction"
72,"BUCCHIGIRI?!","Action, Comedy, Fantasy"
73,"Mushoku Tensei: Jobless Reincarnation","Adventure, Drama, Fantasy"
74,"Black Clover","Action, Adventure, Comedy, Fantasy, Shonen"
75,"My Dress-Up Darling","Romance"
76,"JUJUTSU KAISEN","Action, Shonen, Supernatural"
77,"A Sign of Affection","Romance"
78,"Wistoria: Wand and Sword","Action, Fantasy"
79,"In the Land of Leadale","Fantasy"
80,"The Greatest Demon Lord Is Reborn as a Typical Nobody","Adventure, Comedy, Fantasy"
81,"The World's Greatest First Love","Comedy, Romance"
82,"ORIENT","Action, Adventure, Shonen"
83,"Shinobi no Ittoki","Action, Adventure, Fantasy"
84,"The Faraway Paladin","Adventure, Drama, Fantasy"
85,"KamiKatsu: Working for God in a Godless World","Comedy, Fantasy"
86,"MASHLE: MAGIC AND MUSCLES","Comedy, Fantasy, Shonen"
87,"Attack on Titan","Action, Adventure, Drama, Fantasy, Thriller"
88,"My Hero Academia","Action, Fantasy, Shonen"