youtube_id,title,is_premium
jQgaeLVUo9c,"Wistoria: Wand and Sword - Folge 1",false
t0SQPbD2F08,"BLUE LOCK - Folge 1",false
O2w9acaudd8,"Shangri-La Frontier - Folge 1",false
CvlVuSN_twQ,"JUJUTSU KAISEN - Folge 1",false
JS20VIyJS6o,"Yamada-kun and the Seven Witches - Folge 1",false
D5TXBYTuELs"Alya Sometimes Hides Her Feelings in Russian - Folge 1",false
TAU8DQD5L4I,"Rent-a-Girlfriend - Folge 1",false
DCGg_3zQPcI,"Bye Bye, Earth - Folge 1",false
j0XUxU_bfX0,"Gods' Games We Play - Folge 1",false
_VY1W6AQDMA,"Shikimori's Not Just a Cutie - Folge 1",false
bDbnro9D6aY,"Tokyo Revengers - Folge 1",false
cDjybFLiie8,"Meine Wiedergeburt als Schleim in einer anderen Welt - Folge 1",false
Bk5tvoBKR6E,"Mob Psycho 100 - Folge 1",false
kCy8YaXKxdc,"Recovery of an MMO Junkie - Folge 1",false
VPLZWJpasN0,"Miss Kobayashi's Dragon Maid - Folge 1",false
Zjm4QgINO5Q,"I've Been Killing Slimes For 300 Years And Maxed Out My Level - Folge 1",false
SYIeGi-DYVA,"Battle Game in 5 Seconds - Folge 1",false
i9-meNe0aVk,"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat - Folge 1",false
WUgkUesvIf4,"DON'T TOY WITH ME, MISS NAGATORO - Folge 1",false
njg8EQ6HB0c,"To Your Eternity - Folge 1"false
VXjndTGLFOg,"Love of Kill - Folge 1",false
Vm4uVvZ-sFc,"Der stärkste Held mit dem Mal der Schwäche - Folge 1",false
7ymELdRKN10,"SAKUGAN - Folge 1",false
IxkiNp8FAy8,"The Rising of the Shield Hero - Folge 1",false
PybFNbRYXds,"DARLING in the FRANXX - Folge 1",false
ak1PjoYYIlQ,"The Ancient Magus' Bride - Folge 1",false
hJz1eZGIpas,"In the Land of Leadale - Folge 1",false
21OOXvlizeA,"Death March to the Parallel World Rhapsody - Folge 1",false
ChZavXHz4RI,"Classroom of the Elite Staffel 2 - Folge 1",false
u8jLDbwM564,"The Greatest Demon Lord Is Reborn as a Typical Nobody - Folge 1",false
7NwjMYNNDUs,"Sekaiichi Hatsukoi – The World's Greatest First Love - Folge 1",false
X1X1WZ9eq2I,"ORIENT - Folge 1",false
O855u1DPACs,"The Rising of the Shield Hero Season 2 - Folge 1",false